"pH","Type","Nid","pH (field_ph) - delta"
"8","Data: Water Quality","4583",""
"8","Data: Water Quality","4583","1"
"","Data: Water Quality","4583","2"
"","Data: Water Quality","4583","3"
"8","Data: Water Quality","4590",""
"","Data: Water Quality","4590","1"
"","Data: Water Quality","4590","2"
"","Data: Water Quality","4590","3"
"7","Data: Water Quality","4591",""
"7.5","Data: Water Quality","4591","1"
"","Data: Water Quality","4591","2"
"","Data: Water Quality","4591","3"
"6","Data: Water Quality","4601",""
"6.5","Data: Water Quality","4601","1"
"6.5","Data: Water Quality","4601","2"
"6.5","Data: Water Quality","4601","3"
"8","Data: Water Quality","4622",""
"","Data: Water Quality","4622","1"
"","Data: Water Quality","4622","2"
"","Data: Water Quality","4622","3"
"8","Data: Water Quality","4627",""
"8","Data: Water Quality","4627","1"
"","Data: Water Quality","4627","2"
"","Data: Water Quality","4627","3"
"8","Data: Water Quality","4636",""
"","Data: Water Quality","4636","1"
"","Data: Water Quality","4636","2"
