"Water Temperature","Type","Nid","Delta"
"12.9","Data: Water Quality","3680",""
"","Data: Water Quality","3680","1"
"","Data: Water Quality","3680","2"
"","Data: Water Quality","3680","3"
"11.4","Data: Water Quality","3681",""
"","Data: Water Quality","3681","1"
"","Data: Water Quality","3681","2"
"","Data: Water Quality","3681","3"
"5","Data: Water Quality","3744",""
"8","Data: Water Quality","3744","1"
"","Data: Water Quality","3744","2"
"","Data: Water Quality","3744","3"
"13","Data: Water Quality","3746",""
"9","Data: Water Quality","3746","1"
"","Data: Water Quality","3746","2"
"","Data: Water Quality","3746","3"
"7","Data: Water Quality","3748",""
"4","Data: Water Quality","3748","1"
"","Data: Water Quality","3748","2"
"","Data: Water Quality","3748","3"
"","Data: Water Quality","3750",""
"","Data: Water Quality","3750","1"
"","Data: Water Quality","3750","2"
"","Data: Water Quality","3750","3"
"5","Data: Water Quality","3752",""
"5","Data: Water Quality","3752","1"
"","Data: Water Quality","3752","2"
"","Data: Water Quality","3752","3"
"40","Data: Water Quality","3753",""
"40","Data: Water Quality","3753","1"
"","Data: Water Quality","3753","2"
"","Data: Water Quality","3753","3"
"40","Data: Water Quality","3757",""
"44.5","Data: Water Quality","3757","1"
"43","Data: Water Quality","3757","2"
"42","Data: Water Quality","3757","3"
"40.1","Data: Water Quality","3758",""
"40.9","Data: Water Quality","3758","1"
"43","Data: Water Quality","3758","2"
"38","Data: Water Quality","3758","3"
"42","Data: Water Quality","3760",""
"42","Data: Water Quality","3760","1"
"","Data: Water Quality","3760","2"
"","Data: Water Quality","3760","3"
"3","Data: Water Quality","3764",""
"4.5","Data: Water Quality","3764","1"
"","Data: Water Quality","3764","2"
"","Data: Water Quality","3764","3"
"41.1","Data: Water Quality","3808",""
"","Data: Water Quality","3808","1"
"","Data: Water Quality","3808","2"
"","Data: Water Quality","3808","3"
"9.4","Data: Water Quality","3822",""
"","Data: Water Quality","3822","1"
"","Data: Water Quality","3822","2"
"","Data: Water Quality","3822","3"
"9.5","Data: Water Quality","3823",""
"","Data: Water Quality","3823","1"
"","Data: Water Quality","3823","2"
"","Data: Water Quality","3823","3"
"6.8","Data: Water Quality","3824",""
"6","Data: Water Quality","3824","1"
"","Data: Water Quality","3824","2"
"","Data: Water Quality","3824","3"
"10.3","Data: Water Quality","3829",""
"","Data: Water Quality","3829","1"
"","Data: Water Quality","3829","2"
"","Data: Water Quality","3829","3"
"44.3","Data: Water Quality","3942",""
"","Data: Water Quality","3942","1"
"","Data: Water Quality","3942","2"
"","Data: Water Quality","3942","3"
"41.2","Data: Water Quality","3945",""
"40","Data: Water Quality","3945","1"
"41","Data: Water Quality","3945","2"
"","Data: Water Quality","3945","3"
